split,domain,id,caption,image_path,rule_label,rule_generic_mrt,bert_label,bert_top1,bert_score,bert_margin,bert_accepted,cnn_label,cnn_top1,cnn_score,cnn_margin,cnn_accepted,final_class,final_score,final_reason
train,radiology,ROCO_00002,Computed tomography scan in axial view showing obliteration of the left maxillary sinus,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00002.jpg,ct,False,,mrt_hirn_t1_c,0.9658557176589966,0.0007973909378051758,False,xray,xray,0.8354287147521973,0.67243891954422,True,ct,2.5,fused
train,radiology,ROCO_00003,"Bacterial contamination occurred after completion of root canal treatment in the tooth, which remained with a temporary filling for 15 month.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00003.jpg,,False,,mrt_hirn_t1_c,0.9647310972213745,0.0008654594421386719,False,xray,xray,0.8954803943634033,0.7920871376991272,True,xray,2.0954803943634035,fused
train,radiology,ROCO_00004,The patient had residual paralysis of the hand after poliomyelitis. It was necessary to stabilize the thumb with reference to the index finger. This was accomplished by placing a graft from the bone bank between the first and second metacarpals. The roentgenogram shows the complete healing of the graft one year later.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00004.jpg,,False,,mrt_prostata_t2,0.9664145708084106,0.0005742907524108887,False,us,us,0.8892359137535095,0.7899629101157188,True,us,2.0892359137535097,fused
train,radiology,ROCO_00005,Panoramic radiograph after immediate loading.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00005.jpg,xray,False,,xray,0.9558512568473816,0.002279818058013916,False,xray,xray,0.8493465781211853,0.7003342807292938,True,xray,4.5493465781211855,fused
train,radiology,ROCO_00007,"Plain abdomen x-ray: Multiple air levels at the mid-abdomen (arrows), no radiopaque shadow, and no air under the diaphragm.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00007.jpg,xray,False,,mrt_prostata_t2,0.9760050177574158,0.000489354133605957,False,xray,xray,0.935055136680603,0.8706529811024666,True,xray,4.635055136680603,fused
train,radiology,ROCO_00008,"A 3-year-old child with visual difficulties. Axial FLAIR image show a supra-sellar lesion extending to the temporal lobes along the optic tracts (arrows) with moderate mass effect, compatible with optic glioma. FLAIR hyperintensity is also noted in the left mesencephalon from additional tumoral involvement",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00008.jpg,,True,,mrt_hirn_t1_c,0.9760477542877197,0.0013779997825622559,False,us,us,0.683875560760498,0.37604930996894836,True,us,1.883875560760498,fused
train,radiology,ROCO_00009,Showing the subtrochanteric fracture in the porotic bone.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00009.jpg,,False,,mrt_prostata_t2,0.9598703980445862,0.0026068687438964844,False,xray,xray,0.8177537322044373,0.6375498324632645,True,xray,2.0177537322044374,fused
train,radiology,ROCO_00010,Post orthodontic treatment. Root canal therapy done with maxillary incisors,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00010.jpg,,False,,mrt_prostata_t2,0.9460117816925049,0.001077890396118164,False,xray,xray,0.7287770509719849,0.46047356724739075,True,xray,1.9287770509719848,fused
train,radiology,ROCO_00011,Two sequential thrombi in the distal segment of the obtuse marginal 2 (OM2).,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00011.jpg,,False,,mrt_prostata_t2,0.9590140581130981,0.003913819789886475,False,xray,xray,0.9527204036712646,0.905837669968605,True,xray,2.152720403671265,fused
train,radiology,ROCO_00012,An example of MRI image that takes advantage of joint effusion as contrast material in acute scenario. 57x46mm (150 x 150 DPI).,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00012.jpg,,True,,mrt_prostata_t2,0.9770283102989197,0.0014745593070983887,False,xray,xray,0.7205045819282532,0.44555240869522095,True,xray,1.9205045819282531,fused
train,radiology,ROCO_00013,"Child with abduction and flexion of right lower extremity and hyperextension of the tibia on the femur, associated with dislocation of the left hip, probably the result of the dangerous position of adduction in production of pathological dislocation. A roentgenogram of the mother’s pelvis, one week before delivery, showed this same deformity in utero.",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00013.jpg,,False,,mrt_prostata_t2,0.9702379107475281,0.001305997371673584,False,xray,xray,0.9149141311645508,0.8305816799402237,True,xray,2.114914131164551,fused
train,radiology,ROCO_00014,"Axial T2 HASTE MR image shows loss of normal trilaminar myometrial architecture and mild focal thinning of placenta at the site of compression of myometrium in front of aorta (black arrow), just proximal to the bifurcation. Normal trilaminar signal pattern of myometrium can be seen at other regions (white arrows)",/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00014.jpg,,True,,mrt_prostata_t2,0.9785613417625427,0.00352632999420166,False,xray,xray,0.7624325156211853,0.5271717607975006,True,xray,1.9624325156211853,fused
train,radiology,ROCO_00015,Hydronephrosis appearance in sonography.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00015.jpg,us,False,,mrt_prostata_t2,0.9615930914878845,0.0027106404304504395,False,us,us,0.7924259901046753,0.5941948443651199,True,us,4.4924259901046755,fused
train,radiology,ROCO_00017,Coronary angiogram demonstrating occluded OM1 and OM2 arteries.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00017.jpg,,False,,mrt_prostata_t2,0.9612451195716858,0.0019037723541259766,False,xray,xray,0.866956353187561,0.7351030558347702,True,xray,2.066956353187561,fused
train,radiology,ROCO_00018,Cardiac catheterization showing normal coronaries and a tumor blush.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00018.jpg,,False,,mrt_hirn_t1_c,0.9645563364028931,0.0005034804344177246,False,xray,xray,0.9447242617607117,0.8900340870022774,True,xray,2.144724261760712,fused
train,radiology,ROCO_00019,Follow-up coronary angiography and fluoroscopy showed a gap in the stent strut. A-D: a gap in the stent strut.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00019.jpg,xray_fluoroskopie_angiographie,False,,mrt_hirn_t1_c,0.964466392993927,0.0006051063537597656,False,xray,xray,0.8092641234397888,0.6202018707990646,True,xray_fluoroskopie_angiographie,2.5,fused
train,radiology,ROCO_00021,Right-sided metatarsal in dorsoplantar projection.Cow. Age group IV—cattle 4–8 years. (a) Narrow symphysis that is (b) indistinct from the bone surface.,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00021.jpg,xray,False,,xray,0.9676899313926697,0.0006273388862609863,False,us,us,0.8974038362503052,0.8107475489377975,True,xray,2.5,fused
train,radiology,ROCO_00022,Fourth patient’s MRI,/home/b/PycharmProjects/ba2roco/data/train/radiology/images/ROCO_00022.jpg,,True,,mrt_hirn_t1_c,0.9528683423995972,0.0017110705375671387,False,,xray,0.5104223489761353,0.025915831327438354,False,Unklar,0.15,low_fusion_score
